H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_18165	OG0014161	1	0	1	4	1	2	0	0	2	0	2	4	5	3	46	60	68	28	52	32	7
HER_18166	OG0000278	3	1	1	4	3	2	14	7	4	4	8	6	150	865	145	40	80	33	120	94	30
HER_18169	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0
HER_18170	OG0014162	112	114	106	439	416	100	431	102	274	49	262	187	221	209	254	233	291	241	290	212	133
HER_18171	OG0015858	8	17	23	61	39	23	42	51	56	21	41	62	113	112	210	53	180	114	183	124	76
HER_18172	OG0011031	145	248	298	2745	2119	2038	3261	2228	3852	681	1698	2035	3277	3279	3084	1857	4010	2909	2252	1829	1091
HER_18173	OG0015859	119	152	204	910	776	842	1400	849	716	619	1018	1408	1293	1622	1188	837	1181	931	1201	1063	534
HER_18174	OG0014163	153	231	228	346	446	299	1011	579	461	214	537	596	1106	1054	4060	579	743	446	2108	1713	255
HER_18176	OG0007908	214	493	339	473	626	772	1820	1434	1552	539	1076	1268	306	527	292	107	233	89	191	155	67
HER_18177	OG0011032	12	19	6	116	80	78	32	166	76	52	31	165	106	172	146	124	129	118	186	144	92
HER_18178	OG0015860	17	11	17	132	125	147	303	155	162	44	152	115	496	362	664	251	469	473	482	417	172
HER_1818	OG0003952	879	3388	1367	7646	5924	4961	18664	11244	10714	5653	10098	10588	4160	5300	2499	777	1133	826	1420	1301	476
HER_18180	OG0014164	316	614	579	3927	3324	1900	5018	2232	4453	1274	3264	3260	5259	4515	2530	1775	3118	1906	2326	1839	1054
HER_18181	OG0011033	46	162	124	237	269	223	970	610	603	217	496	538	369	305	238	195	218	239	529	392	161
HER_18182	OG0011034	213	436	210	763	607	482	1060	1224	1226	307	488	502	110	417	167	120	66	68	162	114	84
HER_18183	NA	50	34	38	83	75	73	117	88	169	27	85	78	54	89	67	120	119	143	237	178	98
HER_18184	OG0011035	245	841	411	1641	1388	1256	2810	1961	2295	1275	1708	1786	691	1039	621	183	238	179	280	234	92
HER_18186	OG0011036	1107	959	797	973	1010	670	1252	587	1371	322	895	924	1834	1108	797	706	932	678	996	793	397
HER_18187	OG0014165	2	14	2	10	23	7	16	28	70	17	23	28	1	4	5	22	33	39	37	26	12
HER_18188	OG0007909	11	11	17	38	44	50	121	46	92	23	61	51	256	185	116	37	75	62	133	108	38
HER_18189	NA	4	8	3	25	6	20	59	0	4	10	58	8	53	57	31	26	48	90	45	37	13
HER_1819	OG0007364	4700	5828	5445	4660	3322	2543	4982	2603	3768	1902	4255	3776	12879	13246	14201	5549	11923	9099	9190	6162	2659
HER_18190	OG0001506	44	109	54	361	380	279	1073	728	1069	279	560	775	235	399	158	113	124	136	314	218	76
HER_18191	NA	25	106	37	414	180	146	250	199	260	103	173	200	602	789	436	291	533	355	569	408	217
HER_18192	OG0011037	76	155	71	616	321	267	501	456	557	206	290	358	911	1122	651	423	710	533	849	658	344
HER_18193	OG0007910	167	279	206	2601	2468	2578	3382	4996	3035	2406	2568	4119	437	1062	415	418	357	331	437	331	272
HER_18194	NA	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	3	0	4	4	0
HER_18195	NA	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	2	2	0
HER_18197	OG0000081	3	7	4	12	31	21	62	41	40	37	45	23	14	26	97	24	89	53	80	73	38
