L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_3153.t1	14	18.67	17.50	8.50	29.50	15.50	20.12	4.50	10.50	5.12	2.50	6.12	20.23	7	3.50	0.50	29.50	1.50	34.50	24	23.62
LVA_3705.t1	233	257	162	103	331	134	61	198	207	56	31	82	112	104	83	29	46	78	146	100	103
LVA_3174.t1	131	142.00	146	176	236	342	153	184	165	149	79	89	197	53	80	98	146	221	124	97	123
LVA_4056.t1	207	295.50	80.50	32	180.50	80	148.50	59	115.50	72.50	152	127	58.50	34.50	98.50	34.50	3.50	10.50	393	191.50	229.50
LVA_3452.t1	102	93	207	66	620	705	490	219	212	151	111	171	1751	1317	1578	718	1111	1551	3394	1847	1828
LVA_4131.t1	1120	1022	540	819	535	1392	1035	625	822	741	796	781	1772	1219	1635	1877	2081	2176	1183	983	812.50
LVA_4761.t1	0	1	0	0	0	0	0	2	0	0	1	0	89.00	14.00	14.00	4.00	4.00	22.00	18.00	5.00	3
LVA_3294.t1	616.39	893.25	537.62	119.20	152.25	72.11	198	412	128	10.33	19	28.70	2869.61	1193.65	1695.56	636.73	768.92	652.20	2405.81	1849.19	1613.52
LVA_4684.t1	245	135	340	197	464	464	249	369	407	44	69	64	211	292	188	252	80	323.50	271.00	211	157
LVA_3106.t1	33	33	57	233	533	312	66	48	82	4	17	17	21	1	1	35	22	79	1	12	6
LVA_4133.t1	3335.00	3891.00	3378.00	1284.00	1757.00	2731.00	4415.00	2075	4741.00	1162.00	1093	749.00	476	287	373	200	229	487.00	533	370	434
LVA_3866.t1	47	61	52	12	42	51	163	43	37	13	12	22	678	492	534	305	364	409	566	434	456
LVA_4495.t1	172.83	198.87	236.00	174.58	138.87	235.50	227.83	304.33	87.67	92.92	50.08	45	2432.23	1398.78	1492.27	695.33	1190.48	2016.43	1480.48	1232.15	1509.13
LVA_4752.t1	2577.24	3461.77	1371.93	1646.94	1760.01	3212.89	1277.25	1004.09	793.11	471.77	230.28	312.78	369.78	170.36	322.93	64.83	90.31	109.80	412.09	170.65	221.56
LVA_4765.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0
LVA_4504.t1	2	0.50	5	3	6.50	6	1.50	1	5	0.50	4.50	2	911	365.10	535	483.50	502	638	810.50	501.60	532.10
LVA_4504.t1.1.5f2d44a8	2	1.50	5	3	6.50	6	1.50	1	5	0.50	4.50	2	879	362.10	518	470.50	487	623	795.50	487.60	521.10
LVA_3713.t1_LVA_3714.t1	1	0	0	0	3	2	0	0	0	0	0	0	58	26	30	0	6	2	84	69	51
LVA_3465.t1	1543.50	1680.50	801.50	1406.25	1285.00	1786.50	1216.85	648.50	852.00	236.50	292.50	355.50	528.50	249	294.75	193.75	244.50	130.50	377.75	256.25	287.50
LVA_3465.t2	1509.50	1644.50	786.50	1379.25	1258.00	1746.50	1194.85	632.50	839.00	231.50	283.50	347.50	512	245	289.75	189.75	241.50	130.50	370.75	251.25	284.50
LVA_3368.t1	374	164	1135	498	845.50	853.50	495.50	287	1302	136.00	431	150	1877.50	1393.50	1309	1668	1706.50	1829	719	395	524.50
LVA_4770.t1	2.70	7.06	0	0	0	0	0.17	3.77	0	0	0	0	1.27	0.29	0.61	0	0.14	0.50	0	0	0.11
