H_ery_ID	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_11638	0	0	0	4	2	1	0	0	3	1	0	2	2	1	1	1	12	2	1	2	6
HER_11639	2	2	1	14	4	4	10	5	4	5	13	10	33	13	28	19	43	16	13	10	7
HER_1164	41	4	26	14	31	52	23	17	30	6	25	40	14	54	43	9	12	55	7	9	7
HER_11640	72	89	63	314	307	294	1509	712	339	183	639	357	61	128	124	112	176	124	214	189	102
HER_11641	50	60	38	179	191	138	470	259	110	213	425	113	18	40	42	65	59	57	80	50	37
HER_11642	175	292	277	1152	1043	872	2744	1683	1657	601	1250	1423	252	744	259	166	224	197	213	203	101
HER_11643	1913	4897	3761	2923	2841	2358	2781	2478	3466	925	1604	2690	400	694	280	281	346	414	515	387	256
HER_11646	60	112	56	1132	582	490	1045	923	575	355	583	504	417	424	389	390	359	288	354	277	203
HER_11649	218	488	301	2384	1867	1243	3106	1370	2908	433	1451	2332	880	1290	874	557	1080	666	1246	1006	423
HER_1165	0	0	28	8	23	1	1	6	10	2	1	16	29	22	0	2	1	11	2	2	2
HER_11650	318	600	424	575	595	512	1478	975	1106	506	997	1146	63	346	64	57	43	20	41	29	26
HER_11652	95	174	134	178	193	146	525	290	361	73	164	328	31	95	24	12	11	5	10	8	6
HER_11653	94	59	82	647	466	419	1070	449	867	219	702	704	1774	1660	1128	1498	1047	1414	1176	982	703
HER_11654	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	2	0	1	2	1	0
HER_11655	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	1	2	1
HER_11656	124	110	129	566	414	269	672	527	300	409	581	521	152	162	92	66	58	62	82	58	49
HER_11657	2	2	0	1	2	2	14	16	8	10	7	6	4	17	6	0	1	2	4	5	1
HER_11658	114	148	158	406	464	314	540	450	482	284	458	596	170	283	110	110	132	103	158	110	63
HER_11659	94	173	214	719	607	595	1886	1300	1456	483	1006	1106	1142	1128	1033	284	560	412	857	633	180
HER_11662	1	3	2	2	2	5	0	4	4	4	0	3	174	192	154	77	132	175	112	80	54
HER_11663	98	83	97	588	332	218	568	562	226	392	506	414	104	142	93	52	48	46	77	64	46
HER_11664	2	8	0	4	7	6	31	16	18	8	26	14	12	20	4	4	3	0	8	15	2
HER_11665	2	2	2	1	2	2	27	10	14	6	14	10	4	5	2	1	2	2	4	3	1
HER_11667	17	30	42	122	132	124	525	262	264	133	258	225	118	112	66	51	90	56	106	116	38
HER_11668	8	12	16	53	36	46	58	61	56	31	58	84	30	38	14	18	24	20	26	20	14
HER_11669	102	138	144	349	411	288	507	470	424	293	419	586	164	267	118	99	116	81	148	108	58
HER_1167	341	702	446	1696	1916	1296	3833	2149	2704	719	2055	2149	2996	2510	1344	656	1121	777	1152	874	409
HER_11670	92	153	200	611	590	547	1831	1048	1173	395	942	990	1082	1020	890	261	518	378	765	554	164
HER_11672	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	2	2	0	0
HER_11673	79	79	120	392	390	549	1237	680	764	430	890	744	2486	2141	1503	666	909	628	1099	813	251
HER_11674	31	132	60	912	650	733	1467	531	980	236	926	945	36	169	140	133	223	278	309	261	164
HER_11675	39	125	274	450	499	216	1218	626	847	356	801	438	260	112	102	104	222	156	201	160	80
HER_11676	190	482	233	1519	1457	1589	4887	3968	2997	2980	4025	2648	1240	1583	940	795	1172	932	1143	1216	560
HER_11678	6	16	12	166	168	81	187	244	199	91	97	185	78	80	56	22	33	37	47	26	11
