"gene_1","gene_2","species","coex","hpf"
"erg","irf4","Lv",0,20
"erg","irf4","Lv",0,24
"erg","irf4","Lv",0,6
"irf4","sm37","Lv",85,9
"irf4","sm37","Lv",0,12
"irf4","sm37","Lv",0.021030494216614,16
"irf4","sm37","Lv",0.0516395558998192,20
"irf4","sm37","Lv",0.0894454382826475,24
"irf4","sm37","Lv",0.164563905650027,6
"irf4","sm37","Lv",0,9
"irf4","sm50","Lv",86,12
"irf4","sm50","Lv",0,16
"irf4","sm50","Lv",0.0420609884332281,20
"irf4","sm50","Lv",0,24
"irf4","sm50","Lv",0.0894454382826475,6
"irf4","sm50","Lv",0.0548546352166758,9
"irf4","sm50","Lv",0,12
"irf4","kirrelL","Lv",87,16
"irf4","kirrelL","Lv",0,20
"irf4","kirrelL","Lv",0,24
"irf4","kirrelL","Lv",0,6
"irf4","kirrelL","Lv",0,9
"irf4","kirrelL","Lv",0,12
"irf4","kirrelL","Lv",0,16
"foxB","irf4","Lv",88,20
"foxB","irf4","Lv",0,24
"foxB","irf4","Lv",0,6
"foxB","irf4","Lv",0.0258197779499096,9
"foxB","irf4","Lv",0,12
"foxB","irf4","Lv",0,16
"foxB","irf4","Lv",0,20
"dri","irf4","Lv",89,24
"dri","irf4","Lv",0.036563071297989,6
"dri","irf4","Lv",0.0420609884332281,9
"dri","irf4","Lv",0.0258197779499096,12
"dri","irf4","Lv",0.178890876565295,16
"dri","irf4","Lv",0.603400987383434,20
"dri","irf4","Lv",0.363856882959369,24
"hex","irf4","Lv",90,6
"hex","irf4","Lv",0.036563071297989,9
"hex","irf4","Lv",0.0630914826498422,12
"hex","irf4","Lv",0.361476891298735,16
"hex","irf4","Lv",1.96779964221825,20
"hex","irf4","Lv",2.41360394953374,24
"hex","irf4","Lv",0.848999393571862,6
"fgf","mmp16","Lv",91,9
"fgf","mmp16","Lv",0.127970749542962,12
"fgf","mmp16","Lv",0.736067297581493,16
"fgf","mmp16","Lv",2.01394268009295,20
"fgf","mmp16","Lv",0.894454382826476,24
"fgf","mmp16","Lv",0.987383433900165,6
"fgf","mmp16","Lv",0.363856882959369,9
"mmp16","vegfr","Lv",92,12
"mmp16","vegfr","Lv",0,16
"mmp16","vegfr","Lv",0.483701366982124,20
"mmp16","vegfr","Lv",0.981151562096566,24
"mmp16","vegfr","Lv",0.894454382826476,6
"mmp16","vegfr","Lv",0.713110257816785,9
"mmp16","vegfr","Lv",0.0606428138265615,12
"mmp16","pks2","Lv",93,16
"mmp16","pks2","Lv",0,20
"mmp16","pks2","Lv",0.273396424815983,24
"mmp16","pks2","Lv",0.619674670797831,6
"mmp16","pks2","Lv",0.626118067978533,9
"mmp16","pks2","Lv",0.329127811300055,12
"mmp16","pks2","Lv",0,16
"mmp16","tbr","Lv",94,20
"mmp16","tbr","Lv",0.438756855575868,24
"mmp16","tbr","Lv",0.651945320715037,6
"mmp16","tbr","Lv",1.03279111799639,9
