"species","type","G1","G2","value"
"HE","coEXP","Sm50","Vegfr10","UMAPS/plot_HER26257t1SpSm50_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Lim1","Vegfr10","UMAPS/plot_HER2641t1SpLim1_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Msp1301","p58b","UMAPS/plot_HER28403t1SpMsp1301_and_HER21268t1Spp58b.png"
"HE","coEXP","Msp1301","Lim1","UMAPS/plot_HER28403t1SpMsp1301_and_HER2641t1SpLim1.png"
"HE","coEXP","Msp1301","Vegfr10","UMAPS/plot_HER28403t1SpMsp1301_and_HER48314t1SpVegfr10.png"
"HE","coEXP","FoxO1","p58b","UMAPS/plot_HER35682t1SpFoxO1_and_HER21268t1Spp58b.png"
"HE","coEXP","FoxO1","Sm29","UMAPS/plot_HER35682t1SpFoxO1_and_HER26231t1SpSm29.png"
"HE","coEXP","FoxO1","Sm37","UMAPS/plot_HER35682t1SpFoxO1_and_HER26255t1SpSm37.png"
"HE","coEXP","FoxO1","Sm50","UMAPS/plot_HER35682t1SpFoxO1_and_HER26257t1SpSm50.png"
"HE","coEXP","FoxO1","Lim1","UMAPS/plot_HER35682t1SpFoxO1_and_HER2641t1SpLim1.png"
"HE","coEXP","FoxO1","Msp1301","UMAPS/plot_HER35682t1SpFoxO1_and_HER28403t1SpMsp1301.png"
"HE","coEXP","FoxO1","Vegfr10","UMAPS/plot_HER35682t1SpFoxO1_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Tgif","FoxB","UMAPS/plot_HER4286t1SpTgif_and_HER11066t1SpFoxB.png"
"HE","coEXP","Tgif","p58b","UMAPS/plot_HER4286t1SpTgif_and_HER21268t1Spp58b.png"
"HE","coEXP","Tgif","Sm29","UMAPS/plot_HER4286t1SpTgif_and_HER26231t1SpSm29.png"
"HE","coEXP","Tgif","Sm37","UMAPS/plot_HER4286t1SpTgif_and_HER26255t1SpSm37.png"
"HE","coEXP","Tgif","Sm50","UMAPS/plot_HER4286t1SpTgif_and_HER26257t1SpSm50.png"
"HE","coEXP","Tgif","Lim1","UMAPS/plot_HER4286t1SpTgif_and_HER2641t1SpLim1.png"
"HE","coEXP","Tgif","Msp1301","UMAPS/plot_HER4286t1SpTgif_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Tgif","FoxO1","UMAPS/plot_HER4286t1SpTgif_and_HER35682t1SpFoxO1.png"
"HE","coEXP","Tgif","Erg","UMAPS/plot_HER4286t1SpTgif_and_HER43628t2SpErg.png"
"HE","coEXP","Tgif","Vegfr10","UMAPS/plot_HER4286t1SpTgif_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Tgif","Dr1","UMAPS/plot_HER4286t1SpTgif_and_HER9959t1SpDr1.png"
"HE","coEXP","Ets12","FoxB","UMAPS/plot_HER43627t1SpEts12_and_HER11066t1SpFoxB.png"
"HE","coEXP","Ets12","p58b","UMAPS/plot_HER43627t1SpEts12_and_HER21268t1Spp58b.png"
"HE","coEXP","Ets12","Tbr","UMAPS/plot_HER43627t1SpEts12_and_HER21600t1SpTbr.png"
"HE","coEXP","Ets12","Sm29","UMAPS/plot_HER43627t1SpEts12_and_HER26231t1SpSm29.png"
"HE","coEXP","Ets12","Sm37","UMAPS/plot_HER43627t1SpEts12_and_HER26255t1SpSm37.png"
"HE","coEXP","Ets12","Sm50","UMAPS/plot_HER43627t1SpEts12_and_HER26257t1SpSm50.png"
"HE","coEXP","Ets12","Lim1","UMAPS/plot_HER43627t1SpEts12_and_HER2641t1SpLim1.png"
"HE","coEXP","Ets12","Msp1301","UMAPS/plot_HER43627t1SpEts12_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Ets12","FoxO1","UMAPS/plot_HER43627t1SpEts12_and_HER35682t1SpFoxO1.png"
"HE","coEXP","Ets12","Tgif","UMAPS/plot_HER43627t1SpEts12_and_HER4286t1SpTgif.png"
"HE","coEXP","Ets12","Erg","UMAPS/plot_HER43627t1SpEts12_and_HER43628t2SpErg.png"
"HE","coEXP","Ets12","Vegfr10","UMAPS/plot_HER43627t1SpEts12_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Ets12","Dr1","UMAPS/plot_HER43627t1SpEts12_and_HER9959t1SpDr1.png"
"HE","coEXP","Erg","FoxB","UMAPS/plot_HER43628t2SpErg_and_HER11066t1SpFoxB.png"
"HE","coEXP","Erg","p58b","UMAPS/plot_HER43628t2SpErg_and_HER21268t1Spp58b.png"
"HE","coEXP","Erg","Sm29","UMAPS/plot_HER43628t2SpErg_and_HER26231t1SpSm29.png"
"HE","coEXP","Erg","Sm37","UMAPS/plot_HER43628t2SpErg_and_HER26255t1SpSm37.png"
"HE","coEXP","Erg","Sm50","UMAPS/plot_HER43628t2SpErg_and_HER26257t1SpSm50.png"
"HE","coEXP","Erg","Lim1","UMAPS/plot_HER43628t2SpErg_and_HER2641t1SpLim1.png"
"HE","coEXP","Erg","Msp1301","UMAPS/plot_HER43628t2SpErg_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Erg","FoxO1","UMAPS/plot_HER43628t2SpErg_and_HER35682t1SpFoxO1.png"
"HE","coEXP","Erg","Vegfr10","UMAPS/plot_HER43628t2SpErg_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Dr1","FoxB","UMAPS/plot_HER9959t1SpDr1_and_HER11066t1SpFoxB.png"
"HE","coEXP","Dr1","p58b","UMAPS/plot_HER9959t1SpDr1_and_HER21268t1Spp58b.png"
"HE","coEXP","Dr1","Sm29","UMAPS/plot_HER9959t1SpDr1_and_HER26231t1SpSm29.png"
"HE","coEXP","Dr1","Sm37","UMAPS/plot_HER9959t1SpDr1_and_HER26255t1SpSm37.png"
"HE","coEXP","Dr1","Sm50","UMAPS/plot_HER9959t1SpDr1_and_HER26257t1SpSm50.png"
"HE","coEXP","Dr1","Lim1","UMAPS/plot_HER9959t1SpDr1_and_HER2641t1SpLim1.png"
"HE","coEXP","Dr1","Msp1301","UMAPS/plot_HER9959t1SpDr1_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Dr1","FoxO1","UMAPS/plot_HER9959t1SpDr1_and_HER35682t1SpFoxO1.png"
"HE","coEXP","Dr1","Erg","UMAPS/plot_HER9959t1SpDr1_and_HER43628t2SpErg.png"
"HE","coEXP","Dr1","Vegfr10","UMAPS/plot_HER9959t1SpDr1_and_HER48314t1SpVegfr10.png"
